Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114633,521,Execution environment is an application built with debug configuration,0,BN,,!Cx,.Semantic,:~ [boolean],Application binary is built in debug mode with debug assertions enabled.
1114634,522,Execution environment binary is running directly from cargo target directory,0,BN,,!Cx,.Semantic,:~ [boolean],Application binary is executing directly from the cargo build target directory.
1114635,523,Execution environment is running under test runner harness,0,BN,,!Cx,.Semantic,:~ [boolean],Application is executing inside a test runner harness.
1114636,524,Execution environment is an officially branded Collective Toolbox build,0,BN,,!Cx,.Semantic,:~ [boolean],Application build includes official Collective Toolbox branding assets.
1114637,525,Execution environment is an officially signed Collective Toolbox build,0,BN,,!Cx,.Semantic,:~ [boolean],Application build is cryptographically verified as an official Collective Toolbox release.
1114638,526,Execution environment process role is lightweight CLI,0,BN,,!Cx,.Semantic,:~ [boolean],Process is executing as a lightweight CLI invocation without booting workspace.
1114639,527,Execution environment process role is workspace supervisor,0,BN,,!Cx,.Semantic,:~ [boolean],Process is executing as the root workspace supervisor.
1114640,528,Execution environment process role is workspace main process,0,BN,,!Cx,.Semantic,:~ [boolean],Process is executing as the main workspace process.
1114641,529,Execution environment process role is service subprocess,0,BN,,!Cx,.Semantic,:~ [boolean],Process is executing as a workspace child service process over IPC.
1114642,530,Execution environment is running as an official Collective Toolbox public website deployment,0,BN,,!Cx,.Semantic,:~ [boolean],Execution environment is deployed as an official Collective Toolbox public website.
1114643,531,Execution environment is running as a public website deployment,0,BN,,!Cx,.Semantic,:~ [boolean],Execution environment is deployed as a public website.
1114644,532,Execution environment is running as a local deployment,0,BN,,!Cx,.Semantic,:~ [boolean],Execution environment is executing on a local machine.
