"Tangut definitions for Tangut block. Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, https://www.unicode.org/wg2/docs/n4724-FiveAdditionalTangut.pdf, https://www.unicode.org/wg2/docs/n4851-TangutAdditions.pdf, and https://www.unicode.org/L2/L2023/23246-wg2-n5217r2.pdf",definition,reading,possible variant or error,notes,source
17444,have to,,,,
17445,ancestor,,,,
17446,to stare,,,,
17447,son-in-law,,,,
17448,to beat; to hide (?),,,,
17449,eyes,,,,
1744A,night,,,,
1744B,basket,,,,
1744C,incomplete,,,,
1744D,to trade,,,,
1744E,to whisper,,,,
1744F,a surname,,,,
17450,a surname,,,,
17451,a transliteration,,,,
17452,ambition,,,,
17453,to move,,,,
17454,honest,,,,
17455,beautiful,,,,
17456,a hint given with the eyes,,,,
17457,clean,,,,
17458,clean,,,,
17459,a surname,,,,
1745A,to play,,,,
1745B,south,,,,
1745C,treasure,,,,
1745D,joint,,,,
1745E,a transliteration,,,,
1745F,relatives,,,,
17460,and,,,,
17461,to lose,,,,
17462,,,,,
