0040C,KJcy;
0040E,Ubrcy;
0040F,DZcy;
0041A,Kcy;
0041B,Lcy;
0041C,Mcy;
0041D,Ncy;
0041E,Ocy;
0041F,Pcy;
0042A,HARDcy;
0042B,Ycy;
0042C,SOFTcy;
0042D,Ecy;
0042E,YUcy;
0042F,YAcy;
0043A,kcy;
0043B,lcy;
0043C,mcy;
0043D,ncy;
0043E,ocy;
0043F,pcy;
0044A,hardcy;
0044B,ycy;
0044C,softcy;
0044D,ecy;
0044E,yucy;
0044F,yacy;
0045A,njcy;
0045B,tshcy;
0045C,kjcy;
0045E,ubrcy;
0045F,dzcy;
00060,DiacriticalGrave;
00060,grave;
00066 0006A,fjlig;
00100,Amacr;
00101,amacr;
00102,Abreve;
00103,abreve;
00104,Aogon;
00105,aogon;
00106,Cacute;
00107,cacute;
00108,Ccirc;
00109,ccirc;
00110,Dstrok;
00111,dstrok;
00112,Emacr;
00113,emacr;
00116,Edot;
00117,edot;
00118,Eogon;
00119,eogon;
00120,Gdot;
00121,gdot;
00122,Gcedil;
00124,Hcirc;
00125,hcirc;
00126,Hstrok;
00127,hstrok;
00128,Itilde;
00129,itilde;
00130,Idot;
00131,imath;
00131,inodot;
00132,IJlig;
00133,ijlig;
00134,Jcirc;
00135,jcirc;
00136,Kcedil;
00137,kcedil;
00138,kgreen;
00139,Lacute;
00140,lmidot;
00141,Lstrok;
00142,lstrok;
00143,Nacute;
00144,nacute;
00145,Ncedil;
00146,ncedil;
00147,Ncaron;
00148,ncaron;
00149,napos;
00150,Odblac;
00151,odblac;
00152,OElig;
00153,oelig;
00154,Racute;
00155,racute;
00156,Rcedil;
00157,rcedil;
00158,Rcaron;
00159,rcaron;
00160,Scaron;
00161,scaron;
00162,Tcedil;
00163,tcedil;
00164,Tcaron;
00165,tcaron;
00166,Tstrok;
00167,tstrok;
00168,Utilde;
00169,utilde;
00170,Udblac;
00171,udblac;
00172,Uogon;
00173,uogon;
00174,Wcirc;
00175,wcirc;
00176,Ycirc;
00177,ycirc;
00178,Yuml;
00179,Zacute;
00192,fnof;
0200A,hairsp;
0200A,VeryThinSpace;
0200B,NegativeMediumSpace;
0200B,NegativeThickSpace;
0200B,NegativeThinSpace;
0200B,NegativeVeryThinSpace;
0200B,ZeroWidthSpace;
0200C,zwnj;
0200D,zwj;
0200E,lrm;
0200F,rlm;
0201A,lsquor;
0201A,sbquo;
0201C,ldquo;
0201C,OpenCurlyDoubleQuote;
0201D,CloseCurlyDoubleQuote;
0201D,rdquo;
0201D,rdquor;
0201E,bdquo;
0201E,ldquor;
0203A,rsaquo;
0203E,oline;
0203E,OverBar;
0204F,bsemi;
0205F 0200A,ThickSpace;
0205F,MediumSpace;
0210A,gscr;
0210B,hamilt;
0210B,HilbertSpace;
0210B,Hscr;
0210C,Hfr;
